feature_order,feature,bien_gi,y_nghia_bien,source_group,feature_flow_stage,dtype,is_numeric,missing_pct,n_unique,original_table,original_description
67,FLOORSMIN_MODE,Thông tin nhà ở/bất động sản,"Đặc điểm nhà ở/bất động sản của khách hàng; hậu tố MODE là cách đo/nguồn thống kê của biến FLOORSMIN. Mô tả gốc: Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",Raw application column from application_train.csv,00 Raw application,float64,True,67.84862980511267,25,application_{train|test}.csv,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor"
68,LANDAREA_MODE,Thông tin nhà ở/bất động sản,"Đặc điểm nhà ở/bất động sản của khách hàng; hậu tố MODE là cách đo/nguồn thống kê của biến LANDAREA. Mô tả gốc: Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",Raw application column from application_train.csv,00 Raw application,float64,True,59.376737742714894,3563,application_{train|test}.csv,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor"
69,LIVINGAPARTMENTS_MODE,Thông tin nhà ở/bất động sản,"Đặc điểm nhà ở/bất động sản của khách hàng; hậu tố MODE là cách đo/nguồn thống kê của biến LIVINGAPARTMENTS. Mô tả gốc: Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",Raw application column from application_train.csv,00 Raw application,float64,True,68.35495315614726,736,application_{train|test}.csv,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor"
70,LIVINGAREA_MODE,Thông tin nhà ở/bất động sản,"Đặc điểm nhà ở/bất động sản của khách hàng; hậu tố MODE là cách đo/nguồn thống kê của biến LIVINGAREA. Mô tả gốc: Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",Raw application column from application_train.csv,00 Raw application,float64,True,50.19332641759157,5301,application_{train|test}.csv,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor"
71,NONLIVINGAPARTMENTS_MODE,Thông tin nhà ở/bất động sản,"Đặc điểm nhà ở/bất động sản của khách hàng; hậu tố MODE là cách đo/nguồn thống kê của biến NONLIVINGAPARTMENTS. Mô tả gốc: Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",Raw application column from application_train.csv,00 Raw application,float64,True,69.43296337366793,167,application_{train|test}.csv,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor"
72,NONLIVINGAREA_MODE,Thông tin nhà ở/bất động sản,"Đặc điểm nhà ở/bất động sản của khách hàng; hậu tố MODE là cách đo/nguồn thống kê của biến NONLIVINGAREA. Mô tả gốc: Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",Raw application column from application_train.csv,00 Raw application,float64,True,55.17916432257708,3327,application_{train|test}.csv,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor"
73,APARTMENTS_MEDI,Thông tin nhà ở/bất động sản,"Đặc điểm nhà ở/bất động sản của khách hàng; hậu tố MEDI là cách đo/nguồn thống kê của biến APARTMENTS. Mô tả gốc: Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",Raw application column from application_train.csv,00 Raw application,float64,True,50.74972927797705,1148,application_{train|test}.csv,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor"
74,BASEMENTAREA_MEDI,Thông tin nhà ở/bất động sản,"Đặc điểm nhà ở/bất động sản của khách hàng; hậu tố MEDI là cách đo/nguồn thống kê của biến BASEMENTAREA. Mô tả gốc: Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",Raw application column from application_train.csv,00 Raw application,float64,True,58.51595552679416,3772,application_{train|test}.csv,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor"
75,YEARS_BEGINEXPLUATATION_MEDI,Thông tin nhà ở/bất động sản,"Đặc điểm nhà ở/bất động sản của khách hàng; hậu tố MEDI là cách đo/nguồn thống kê của biến YEARS_BEGINEXPLUATATION. Mô tả gốc: Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",Raw application column from application_train.csv,00 Raw application,float64,True,48.781019215572776,245,application_{train|test}.csv,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor"
76,YEARS_BUILD_MEDI,Thông tin nhà ở/bất động sản,"Đặc điểm nhà ở/bất động sản của khách hàng; hậu tố MEDI là cách đo/nguồn thống kê của biến YEARS_BUILD. Mô tả gốc: Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",Raw application column from application_train.csv,00 Raw application,float64,True,66.49778381911543,151,application_{train|test}.csv,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor"
77,COMMONAREA_MEDI,Thông tin nhà ở/bất động sản,"Đặc điểm nhà ở/bất động sản của khách hàng; hậu tố MEDI là cách đo/nguồn thống kê của biến COMMONAREA. Mô tả gốc: Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",Raw application column from application_train.csv,00 Raw application,float64,True,69.87229725115525,3202,application_{train|test}.csv,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor"
78,ELEVATORS_MEDI,Thông tin nhà ở/bất động sản,"Đặc điểm nhà ở/bất động sản của khách hàng; hậu tố MEDI là cách đo/nguồn thống kê của biến ELEVATORS. Mô tả gốc: Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",Raw application column from application_train.csv,00 Raw application,float64,True,53.29597965601231,46,application_{train|test}.csv,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor"
79,ENTRANCES_MEDI,Thông tin nhà ở/bất động sản,"Đặc điểm nhà ở/bất động sản của khách hàng; hậu tố MEDI là cách đo/nguồn thống kê của biến ENTRANCES. Mô tả gốc: Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",Raw application column from application_train.csv,00 Raw application,float64,True,50.3487680115508,46,application_{train|test}.csv,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor"
80,FLOORSMAX_MEDI,Thông tin nhà ở/bất động sản,"Đặc điểm nhà ở/bất động sản của khách hàng; hậu tố MEDI là cách đo/nguồn thống kê của biến FLOORSMAX. Mô tả gốc: Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",Raw application column from application_train.csv,00 Raw application,float64,True,49.76082156410665,49,application_{train|test}.csv,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor"
81,FLOORSMIN_MEDI,Thông tin nhà ở/bất động sản,"Đặc điểm nhà ở/bất động sản của khách hàng; hậu tố MEDI là cách đo/nguồn thống kê của biến FLOORSMIN. Mô tả gốc: Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",Raw application column from application_train.csv,00 Raw application,float64,True,67.84862980511267,47,application_{train|test}.csv,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor"
82,LANDAREA_MEDI,Thông tin nhà ở/bất động sản,"Đặc điểm nhà ở/bất động sản của khách hàng; hậu tố MEDI là cách đo/nguồn thống kê của biến LANDAREA. Mô tả gốc: Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",Raw application column from application_train.csv,00 Raw application,float64,True,59.376737742714894,3560,application_{train|test}.csv,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor"
83,LIVINGAPARTMENTS_MEDI,Thông tin nhà ở/bất động sản,"Đặc điểm nhà ở/bất động sản của khách hàng; hậu tố MEDI là cách đo/nguồn thống kê của biến LIVINGAPARTMENTS. Mô tả gốc: Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",Raw application column from application_train.csv,00 Raw application,float64,True,68.35495315614726,1097,application_{train|test}.csv,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor"
84,LIVINGAREA_MEDI,Thông tin nhà ở/bất động sản,"Đặc điểm nhà ở/bất động sản của khách hàng; hậu tố MEDI là cách đo/nguồn thống kê của biến LIVINGAREA. Mô tả gốc: Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",Raw application column from application_train.csv,00 Raw application,float64,True,50.19332641759157,5281,application_{train|test}.csv,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor"
85,NONLIVINGAPARTMENTS_MEDI,Thông tin nhà ở/bất động sản,"Đặc điểm nhà ở/bất động sản của khách hàng; hậu tố MEDI là cách đo/nguồn thống kê của biến NONLIVINGAPARTMENTS. Mô tả gốc: Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",Raw application column from application_train.csv,00 Raw application,float64,True,69.43296337366793,214,application_{train|test}.csv,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor"
86,NONLIVINGAREA_MEDI,Thông tin nhà ở/bất động sản,"Đặc điểm nhà ở/bất động sản của khách hàng; hậu tố MEDI là cách đo/nguồn thống kê của biến NONLIVINGAREA. Mô tả gốc: Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",Raw application column from application_train.csv,00 Raw application,float64,True,55.17916432257708,3323,application_{train|test}.csv,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor"
87,FONDKAPREMONT_MODE,Thông tin loại nhà/tình trạng nhà,"Biến mô tả loại nhà, vật liệu, diện tích hoặc tình trạng khẩn cấp của bất động sản. Mô tả gốc: Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",Raw application column from application_train.csv,00 Raw application,str,False,68.38617155158677,4,application_{train|test}.csv,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor"
88,HOUSETYPE_MODE,Thông tin loại nhà/tình trạng nhà,"Biến mô tả loại nhà, vật liệu, diện tích hoặc tình trạng khẩn cấp của bất động sản. Mô tả gốc: Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",Raw application column from application_train.csv,00 Raw application,str,False,50.176091261776,3,application_{train|test}.csv,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor"
89,TOTALAREA_MODE,Thông tin loại nhà/tình trạng nhà,"Biến mô tả loại nhà, vật liệu, diện tích hoặc tình trạng khẩn cấp của bất động sản. Mô tả gốc: Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",Raw application column from application_train.csv,00 Raw application,float64,True,48.26851722377411,5116,application_{train|test}.csv,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor"
90,WALLSMATERIAL_MODE,Thông tin loại nhà/tình trạng nhà,"Biến mô tả loại nhà, vật liệu, diện tích hoặc tình trạng khẩn cấp của bất động sản. Mô tả gốc: Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",Raw application column from application_train.csv,00 Raw application,str,False,50.8407829313423,7,application_{train|test}.csv,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor"
91,EMERGENCYSTATE_MODE,Thông tin loại nhà/tình trạng nhà,"Biến mô tả loại nhà, vật liệu, diện tích hoặc tình trạng khẩn cấp của bất động sản. Mô tả gốc: Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",Raw application column from application_train.csv,00 Raw application,str,False,47.39830445089769,2,application_{train|test}.csv,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor"
92,OBS_30_CNT_SOCIAL_CIRCLE,Số quan sát xã hội,Số người trong vòng quan hệ xã hội có quan sát DPD trong 30 ngày. Mô tả gốc: How many observation of client's social surroundings with observable 30 DPD (days past due) default,Raw application column from application_train.csv,00 Raw application,float64,True,0.3320206431639844,33,application_{train|test}.csv,How many observation of client's social surroundings with observable 30 DPD (days past due) default
93,DEF_30_CNT_SOCIAL_CIRCLE,Số default xã hội,Số người trong vòng quan hệ xã hội có default/DPD trong 30 ngày. Mô tả gốc: How many observation of client's social surroundings defaulted on 30 DPD (days past due),Raw application column from application_train.csv,00 Raw application,float64,True,0.3320206431639844,10,application_{train|test}.csv,How many observation of client's social surroundings defaulted on 30 DPD (days past due)
94,OBS_60_CNT_SOCIAL_CIRCLE,Số quan sát xã hội,Số người trong vòng quan hệ xã hội có quan sát DPD trong 60 ngày. Mô tả gốc: How many observation of client's social surroundings with observable 60 DPD (days past due) default,Raw application column from application_train.csv,00 Raw application,float64,True,0.3320206431639844,33,application_{train|test}.csv,How many observation of client's social surroundings with observable 60 DPD (days past due) default
95,DEF_60_CNT_SOCIAL_CIRCLE,Số default xã hội,Số người trong vòng quan hệ xã hội có default/DPD trong 60 ngày. Mô tả gốc: How many observation of client's social surroundings defaulted on 60 (days past due) DPD,Raw application column from application_train.csv,00 Raw application,float64,True,0.3320206431639844,9,application_{train|test}.csv,How many observation of client's social surroundings defaulted on 60 (days past due) DPD
96,DAYS_LAST_PHONE_CHANGE,Biến thời gian theo ngày,Số ngày so với thời điểm nộp hồ sơ; số âm là sự kiện xảy ra trong quá khứ. Mô tả gốc: How many days before application did client change phone,Raw application column from application_train.csv,00 Raw application,float64,True,0.0003251916191615,3773,application_{train|test}.csv,How many days before application did client change phone
97,FLAG_DOCUMENT_2,Cờ giấy tờ hồ sơ,1 = khách hàng nộp/có loại giấy tờ số 2; 0 = không có. Mô tả gốc: Did client provide document 2,Raw application column from application_train.csv,00 Raw application,int64,True,0.0,2,application_{train|test}.csv,Did client provide document 2
98,FLAG_DOCUMENT_3,Cờ giấy tờ hồ sơ,1 = khách hàng nộp/có loại giấy tờ số 3; 0 = không có. Mô tả gốc: Did client provide document 3,Raw application column from application_train.csv,00 Raw application,int64,True,0.0,2,application_{train|test}.csv,Did client provide document 3
99,FLAG_DOCUMENT_4,Cờ giấy tờ hồ sơ,1 = khách hàng nộp/có loại giấy tờ số 4; 0 = không có. Mô tả gốc: Did client provide document 4,Raw application column from application_train.csv,00 Raw application,int64,True,0.0,2,application_{train|test}.csv,Did client provide document 4
100,FLAG_DOCUMENT_5,Cờ giấy tờ hồ sơ,1 = khách hàng nộp/có loại giấy tờ số 5; 0 = không có. Mô tả gốc: Did client provide document 5,Raw application column from application_train.csv,00 Raw application,int64,True,0.0,2,application_{train|test}.csv,Did client provide document 5
101,FLAG_DOCUMENT_6,Cờ giấy tờ hồ sơ,1 = khách hàng nộp/có loại giấy tờ số 6; 0 = không có. Mô tả gốc: Did client provide document 6,Raw application column from application_train.csv,00 Raw application,int64,True,0.0,2,application_{train|test}.csv,Did client provide document 6
102,FLAG_DOCUMENT_7,Cờ giấy tờ hồ sơ,1 = khách hàng nộp/có loại giấy tờ số 7; 0 = không có. Mô tả gốc: Did client provide document 7,Raw application column from application_train.csv,00 Raw application,int64,True,0.0,2,application_{train|test}.csv,Did client provide document 7
103,FLAG_DOCUMENT_8,Cờ giấy tờ hồ sơ,1 = khách hàng nộp/có loại giấy tờ số 8; 0 = không có. Mô tả gốc: Did client provide document 8,Raw application column from application_train.csv,00 Raw application,int64,True,0.0,2,application_{train|test}.csv,Did client provide document 8
104,FLAG_DOCUMENT_9,Cờ giấy tờ hồ sơ,1 = khách hàng nộp/có loại giấy tờ số 9; 0 = không có. Mô tả gốc: Did client provide document 9,Raw application column from application_train.csv,00 Raw application,int64,True,0.0,2,application_{train|test}.csv,Did client provide document 9
105,FLAG_DOCUMENT_10,Cờ giấy tờ hồ sơ,1 = khách hàng nộp/có loại giấy tờ số 10; 0 = không có. Mô tả gốc: Did client provide document 10,Raw application column from application_train.csv,00 Raw application,int64,True,0.0,2,application_{train|test}.csv,Did client provide document 10
106,FLAG_DOCUMENT_11,Cờ giấy tờ hồ sơ,1 = khách hàng nộp/có loại giấy tờ số 11; 0 = không có. Mô tả gốc: Did client provide document 11,Raw application column from application_train.csv,00 Raw application,int64,True,0.0,2,application_{train|test}.csv,Did client provide document 11
107,FLAG_DOCUMENT_12,Cờ giấy tờ hồ sơ,1 = khách hàng nộp/có loại giấy tờ số 12; 0 = không có. Mô tả gốc: Did client provide document 12,Raw application column from application_train.csv,00 Raw application,int64,True,0.0,2,application_{train|test}.csv,Did client provide document 12
108,FLAG_DOCUMENT_13,Cờ giấy tờ hồ sơ,1 = khách hàng nộp/có loại giấy tờ số 13; 0 = không có. Mô tả gốc: Did client provide document 13,Raw application column from application_train.csv,00 Raw application,int64,True,0.0,2,application_{train|test}.csv,Did client provide document 13
109,FLAG_DOCUMENT_14,Cờ giấy tờ hồ sơ,1 = khách hàng nộp/có loại giấy tờ số 14; 0 = không có. Mô tả gốc: Did client provide document 14,Raw application column from application_train.csv,00 Raw application,int64,True,0.0,2,application_{train|test}.csv,Did client provide document 14
110,FLAG_DOCUMENT_15,Cờ giấy tờ hồ sơ,1 = khách hàng nộp/có loại giấy tờ số 15; 0 = không có. Mô tả gốc: Did client provide document 15,Raw application column from application_train.csv,00 Raw application,int64,True,0.0,2,application_{train|test}.csv,Did client provide document 15
111,FLAG_DOCUMENT_16,Cờ giấy tờ hồ sơ,1 = khách hàng nộp/có loại giấy tờ số 16; 0 = không có. Mô tả gốc: Did client provide document 16,Raw application column from application_train.csv,00 Raw application,int64,True,0.0,2,application_{train|test}.csv,Did client provide document 16
112,FLAG_DOCUMENT_17,Cờ giấy tờ hồ sơ,1 = khách hàng nộp/có loại giấy tờ số 17; 0 = không có. Mô tả gốc: Did client provide document 17,Raw application column from application_train.csv,00 Raw application,int64,True,0.0,2,application_{train|test}.csv,Did client provide document 17
113,FLAG_DOCUMENT_18,Cờ giấy tờ hồ sơ,1 = khách hàng nộp/có loại giấy tờ số 18; 0 = không có. Mô tả gốc: Did client provide document 18,Raw application column from application_train.csv,00 Raw application,int64,True,0.0,2,application_{train|test}.csv,Did client provide document 18
114,FLAG_DOCUMENT_19,Cờ giấy tờ hồ sơ,1 = khách hàng nộp/có loại giấy tờ số 19; 0 = không có. Mô tả gốc: Did client provide document 19,Raw application column from application_train.csv,00 Raw application,int64,True,0.0,2,application_{train|test}.csv,Did client provide document 19
115,FLAG_DOCUMENT_20,Cờ giấy tờ hồ sơ,1 = khách hàng nộp/có loại giấy tờ số 20; 0 = không có. Mô tả gốc: Did client provide document 20,Raw application column from application_train.csv,00 Raw application,int64,True,0.0,2,application_{train|test}.csv,Did client provide document 20
116,FLAG_DOCUMENT_21,Cờ giấy tờ hồ sơ,1 = khách hàng nộp/có loại giấy tờ số 21; 0 = không có. Mô tả gốc: Did client provide document 21,Raw application column from application_train.csv,00 Raw application,int64,True,0.0,2,application_{train|test}.csv,Did client provide document 21
117,AMT_REQ_CREDIT_BUREAU_HOUR,Số lần hỏi bureau,Số lần hồ sơ tín dụng của khách hàng được hỏi tại bureau trong khung thời gian HOUR. Mô tả gốc: Number of enquiries to Credit Bureau about the client one hour before application,Raw application column from application_train.csv,00 Raw application,float64,True,13.501630835970095,5,application_{train|test}.csv,Number of enquiries to Credit Bureau about the client one hour before application
118,AMT_REQ_CREDIT_BUREAU_DAY,Số lần hỏi bureau,Số lần hồ sơ tín dụng của khách hàng được hỏi tại bureau trong khung thời gian DAY. Mô tả gốc: Number of enquiries to Credit Bureau about the client one day before application (excluding one hour before application),Raw application column from application_train.csv,00 Raw application,float64,True,13.501630835970095,9,application_{train|test}.csv,Number of enquiries to Credit Bureau about the client one day before application (excluding one hour before application)
119,AMT_REQ_CREDIT_BUREAU_WEEK,Số lần hỏi bureau,Số lần hồ sơ tín dụng của khách hàng được hỏi tại bureau trong khung thời gian WEEK. Mô tả gốc: Number of enquiries to Credit Bureau about the client one week before application (excluding one day before application),Raw application column from application_train.csv,00 Raw application,float64,True,13.501630835970095,9,application_{train|test}.csv,Number of enquiries to Credit Bureau about the client one week before application (excluding one day before application)
120,AMT_REQ_CREDIT_BUREAU_MON,Số lần hỏi bureau,Số lần hồ sơ tín dụng của khách hàng được hỏi tại bureau trong khung thời gian MON. Mô tả gốc: Number of enquiries to Credit Bureau about the client one month before application (excluding one week before application),Raw application column from application_train.csv,00 Raw application,float64,True,13.501630835970095,24,application_{train|test}.csv,Number of enquiries to Credit Bureau about the client one month before application (excluding one week before application)
121,AMT_REQ_CREDIT_BUREAU_QRT,Số lần hỏi bureau,Số lần hồ sơ tín dụng của khách hàng được hỏi tại bureau trong khung thời gian QRT. Mô tả gốc: Number of enquiries to Credit Bureau about the client 3 month before application (excluding one month before application),Raw application column from application_train.csv,00 Raw application,float64,True,13.501630835970095,11,application_{train|test}.csv,Number of enquiries to Credit Bureau about the client 3 month before application (excluding one month before application)
122,AMT_REQ_CREDIT_BUREAU_YEAR,Số lần hỏi bureau,Số lần hồ sơ tín dụng của khách hàng được hỏi tại bureau trong khung thời gian YEAR. Mô tả gốc: Number of enquiries to Credit Bureau about the client one day year (excluding last 3 months before application),Raw application column from application_train.csv,00 Raw application,float64,True,13.501630835970095,25,application_{train|test}.csv,Number of enquiries to Credit Bureau about the client one day year (excluding last 3 months before application)
123,IS_TRAIN,Cờ train/test,1 = dòng thuộc application_train có TARGET; 0 = dòng thuộc application_test không có TARGET.,Step5 train/test alignment column,05 Step5 train/test alignment,int64,True,0.0,1,,
124,CODE_GENDER_UNKNOWN_FLAG,Cờ giới tính unknown,1 = CODE_GENDER ban đầu là XNA/unknown; 0 = giới tính hợp lệ.,"Step3 cleaning/application feature flag logic, materialized in Step5 code",03 Step3 cleaning feature logic,int64,True,0.0,2,,
125,DAYS_EMPLOYED_ANOM_FLAG,Cờ DAYS_EMPLOYED đặc biệt,1 = DAYS_EMPLOYED ban đầu bằng 365243; 0 = không phải mã đặc biệt.,"Step3 cleaning/application feature flag logic, materialized in Step5 code",03 Step3 cleaning feature logic,int64,True,0.0,2,,
126,APP_PROPERTY_MISSING_COUNT,Số cột nhà ở bị thiếu,Đếm số cột thông tin nhà ở/bất động sản bị missing trên từng khách hàng.,"Step3 cleaning/application feature flag logic, materialized in Step5 code",03 Step3 cleaning feature logic,int64,True,0.0,19,,
127,APP_PROPERTY_MISSING_RATIO,Tỷ lệ thiếu thông tin nhà ở,APP_PROPERTY_MISSING_COUNT chia cho tổng số cột nhà ở được kiểm tra.,"Step3 cleaning/application feature flag logic, materialized in Step5 code",03 Step3 cleaning feature logic,float64,True,0.0,19,,
128,APP_PROPERTY_ANY_MISSING_FLAG,Cờ thiếu thông tin nhà ở,1 = thiếu ít nhất một cột nhà ở/bất động sản; 0 = không thiếu.,"Step3 cleaning/application feature flag logic, materialized in Step5 code",03 Step3 cleaning feature logic,int64,True,0.0,2,,
129,APP_OWN_CAR_AGE_MISSING_FLAG,Cờ thiếu tuổi xe,1 = OWN_CAR_AGE bị missing; thường xảy ra khi khách hàng không có xe hoặc không khai báo.,"Step3 cleaning/application feature flag logic, materialized in Step5 code",03 Step3 cleaning feature logic,int64,True,0.0,2,,
130,APP_AGE_YEARS,Tuổi khách hàng theo năm,Chuyển DAYS_BIRTH từ số ngày âm sang tuổi theo năm.,"Step3 cleaning/application feature flag logic, materialized in Step5 code",03 Step3 cleaning feature logic,float64,True,0.0,17460,,
